sku,nombre,categoria,precio_cop,stock,estado
ECO-047,Bolsa compostable mascotas 60u,mascotas,19000,74,disponible
ECO-048,Juguete cuerda algodon reciclado,mascotas,21000,49,disponible
ECO-049,Comedero bambu para mascotas,mascotas,37000,21,disponible
ECO-050,Bebedero plegable silicona,mascotas,18000,57,disponible
ECO-051,Toalla microfibra reciclada,hogar,26000,38,disponible
ECO-052,Escoba plastico reciclado,limpieza,31000,33,disponible
ECO-053,Trapero de algodon reciclado,limpieza,24000,42,disponible
ECO-054,Ambientador natural citricos,hogar,23000,45,disponible
ECO-055,Pack bolsas malla frutas 5u,hogar,20000,64,disponible
ECO-056,Cepillo ropa madera,cuidado,16000,59,disponible
ECO-057,Rasuradora metal reutilizable,higiene,69000,19,disponible
ECO-058,Cuchillas acero 10u,higiene,27000,37,disponible
ECO-059,Peine bambu antiestatico,belleza,22000,41,disponible
ECO-060,Espejo bolsillo bambu,belleza,14000,76,disponible
ECO-061,Portacomidas acero 1L,cocina,52000,23,disponible
ECO-062,Cubeta silicona plegable,hogar,36000,30,disponible
ECO-063,Panos celulosa compostables 3u,limpieza,18000,68,disponible
ECO-064,Guantes limpieza biodegradables,limpieza,15000,86,disponible
ECO-065,Dispensador jabon vidrio,hogar,28000,35,disponible
ECO-066,Recarga jabon liquido eco 500ml,limpieza,17000,92,disponible
ECO-067,Kit huerta balcon,jardineria,88000,16,disponible
ECO-068,Regadera metal reciclado,jardineria,34000,24,disponible
ECO-069,Tijeras poda acero reciclado,jardineria,41000,20,disponible
ECO-070,Bolsa sustrato compost 10kg,jardineria,39000,27,disponible
ECO-071,Portatil funda fieltro reciclado,oficina,45000,32,disponible
ECO-072,Mouse pad corcho natural,oficina,19000,60,disponible
ECO-073,Soporte laptop bambu,oficina,67000,14,disponible
ECO-074,Cargador solar portatil,tecnologia,129000,11,disponible
ECO-075,Linterna solar recargable,tecnologia,56000,18,disponible
ECO-076,Pila recargable AA 4u,tecnologia,38000,50,disponible
ECO-077,Base cargador inalambrico bambu,tecnologia,72000,13,disponible
ECO-078,Audifonos madera reciclada,tecnologia,99000,9,disponible
ECO-079,Funda celular compostable,tecnologia,26000,73,disponible
ECO-080,Cable USB reciclado 1m,tecnologia,24000,65,disponible
ECO-081,Velon aromaterapia natural,bienestar,30000,28,disponible
ECO-082,Almohadilla termica semillas,bienestar,35000,22,disponible
ECO-083,Mat de yoga corcho,bienestar,95000,12,disponible
ECO-084,Bloque yoga corcho 2u,bienestar,48000,17,disponible
ECO-085,Banda resistencia latex natural,bienestar,27000,40,disponible
ECO-086,Suplemento espirulina organica,bienestar,58000,15,disponible
ECO-087,Termo kids acero 350ml,accesorios,49000,26,disponible
ECO-088,Lonchera reutilizable kids,cocina,43000,29,disponible
ECO-089,Set cepillo y peine bebe bambu,higiene,33000,34,disponible
ECO-090,Panal ecologico biodegradable 20u,higiene,42000,46,disponible
ECO-091,Detergente ropa bebe eco,limpieza,31000,39,disponible
ECO-092,Jabon manos espuma recargable,limpieza,23000,58,disponible
ECO-093,Paquete semillas flores polinizadoras,jardineria,14000,88,disponible
ECO-094,Casa insectos madera,jardineria,52000,10,disponible
ECO-095,Set cubiertos acero premium,cocina,61000,21,disponible
ECO-096,Sarten ceramica libre PFOA,cocina,145000,8,disponible
ECO-097,Olla acero reciclado 3L,cocina,159000,7,disponible
ECO-098,Pack limpieza zero waste,limpieza,84000,19,disponible
ECO-099,Kit regalo sostenible,hogar,99000,12,disponible
ECO-100,Caja suscripcion eco mensual,hogar,119000,5,disponible
